1.644078957570190250e+05,1.853701263643435377e+05
1.865162440914204089e-03,2.689446383149580490e-03
2.377602677345643087e+02,2.524630465528557011e+02
1.775024007035959084e-01,2.191288487401980845e-01
4.589338429061041308e-02,8.645234766429722717e-02
1.157046544212069875e+03,1.253416900684109805e+03
1.095270575800499728e+03,1.139970936000499933e+03
1.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000000e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+01
3.497216869077461380e-86,4.357680680055012378e-80
7.968504794365760979e+00,8.806589116288973784e+00
1.923151297438033325e+01,2.234952900244677920e+01
5.928258564041287253e-03,1.440142628130669858e-02
8.235936634838037662e+02,9.102147994200112180e+02
8.249212916010000044e+05,8.415863681990000186e+05
1.467837636047572281e-01,1.524682601127041459e-01
7.374841738577891192e+03,8.917634974357786632e+03
2.869946502389999750e+03,2.927925219610000113e+03
1.016463622540872020e+05,1.413671978963204310e+05
1.000000000000000000e+00,3.004628741170579076e+01
4.476568086422356291e-02,5.684192506626624397e-02
1.841773270590000029e+05,1.878980811410000024e+05
2.445927450327913255e-01,2.550046285997785711e-01
6.509085590872848115e+03,7.414617059451636123e+03
9.611170457030384640e+00,1.185776603136906715e+01
2.739970600103583251e+02,2.909406738806617341e+02
1.271534987308654829e-02,1.850994360813485937e-02
1.055488488781748856e+03,1.355353110642046431e+03
6.170898437111388830e+02,7.101806107667100605e+02
9.784722416365980793e-04,1.200461198209172489e-03
1.879545248459999982e+02,1.936691018135399815e+02
8.117873271731603779e+00,1.011657882864992786e+01
1.520401928068054742e-02,4.227697982924262521e-02
2.096002031077054309e-04,1.048958235307003578e-02
4.906217776417990802e-09,5.256396951395147894e-07
5.674572814680000192e+03,5.789210649319999902e+03
1.020863750285781975e+03,1.210102119664013799e+03
1.000000000000000000e+00,1.000000000000000000e+01
7.795236253725822628e+00,1.085009508540986545e+01
3.761452381059217487e+02,5.841688208852931439e+02
1.272528499656799122e-02,1.000000000000000000e+00
1.115456400879673460e+00,3.036474245384741533e+00
